Stock Code,Name of Listed Company,Listed Company's Website Address
802,RCG Holdings Limited,http://www.rcg.todayir.com
803,Prosperity International Holdings (H.K.) Limited,http://www.pihl-hk.com
805,Glencore International plc,http://www.glencore.com
806,Value Partners Group Limited,http://www.valuepartnersgroup.com.hk
808,Prosperity Real Estate Investment Trust,http://www.prosperityreit.com/eng/index.php
809,Global Bio-Chem Technology Group Company Limited,http://www.globalbiochem.com
810,Opes Asia Development Limited,http://www.irasia.com/listco/hk/opesasia/index.htm
811,"Sichuan Xinhua Winshare Chainstore Co., Ltd.",http://www.winshare.com.cn
812,Tanrich Financial Holdings Limited,http://www.tanrich-group.com
813,Shimao Property Holdings Limited,http://www.shimaoproperty.com
814,Beijing Jingkelong Company Limited,http://www.jkl.com.cn
817,Franshion Properties (China) Limited,http://www.franshion.com
818,Hi Sun Technology (China) Limited,http://www.irasia.com/listco/hk/hisun
819,Tianneng Power International Limited,http://www.tianneng.com.hk
820,HSBC China Dragon Fund,http://www.assetmanagement.hsbc.com/hk-chinadragonfund
821,Value Convergence Holdings Limited,http://www.valueconvergence.com
822,Ka Shui International Holdings Limited,http://www.kashui.com
823,The Link Real Estate Investment Trust,http://www.thelinkreit.com
825,New World Department Store China Limited,http://www.nwds.com.hk
826,Tiangong International Company Limited,http://www.tggj.cn
827,Ko Yo Ecological Agrotech (Group) Limited,http://www.koyochem.com
828,Dynasty Fine Wines Group Limited,http://www.dynasty-wines.com
829,Shenguan Holdings (Group) Limited,http://www.shenguan.com.cn
830,Far East Global Group Limited,http://www.fareastglobal.com
831,Convenience Retail Asia Limited,http://www.cr-asia.com
832,Central China Real Estate Limited,http://www.centralchina.com
833,Alltronics Holdings Limited,http://www.irasia.com/listco/hk/alltronics/index.htm
834,China Kangda Food Company Limited,http://www.kangdafood.com
835,Asia Coal Limited,http://www.asiacoallimited.com
836,China Resources Power Holdings Company Limited,http://www.cr-power.com
837,Carpenter Tan Holdings Limited,http://www.ctans.com
838,EVA Precision Industrial Holdings Limited,http://www.eva-group.com
839,Anhui Tianda Oil Pipe Company Limited,http://www.td-gg.com
840,Xinjiang Tianye Water Saving Irrigation System Company Limited,http://www.tianyejieshui.com.cn
841,Asia Cassava Resources Holdings Limited,http://www.asiacassava.com
842,Leoch International Technology Limited,http://www.leoch.com
845,Glorious Property Holdings Limited,http://www.gloriousphl.com.cn
846,Mingfa Group (International) Company Limited,http://www.ming-fa.com
847,Kazakhmys PLC,http://www.kazakhmys.com
848,Maoye International Holdings Limited,http://www.maoye.cn
850,PetroAsian Energy Holdings Limited,http://www.ChinaOilResources.com
851,Sheng Yuan Holdings Limited,http://www.shengyuan.hk
852,Strong Petrochemical Holdings Limited,http://www.strongpetrochem.com
853,MicroPort Scientific Corporation,http://www.microport.com.cn
855,China Water Affairs Group Limited,http://www.chinawatergroup.com
856,VST Holdings Limited,http://www.vst.com.hk
857,PetroChina Company Limited,http://www.petrochina.com.cn
858,Extrawell Pharmaceutical Holdings Limited,http://www.extrawell.com.hk
859,Henry Group Holdings Limited,http://www.henrygroup.hk
860,Ming Fung Jewellery Group Limited,http://www.mingfung.com
861,Digital China Holdings Limited,http://www.digitalchina.com.hk
862,Vision Values Holdings Ltd.,http://www.visionvalues.com.hk 
865,First Mobile Group Holdings Limited,http://www.firstmobile.com
866,China Qinfa Group Limited,http://www.qinfagroup.com
867,China Medical System Holdings Limited,http://www.cms.net.cn
868,Xinyi Glass Holdings Limited,http://xinyiglass.todayir.com
869,Playmates Toys Limited,http://www.playmatestoys.com
870,Hang Fung Gold Technology Limited,http://www.hangfung.com
871,Xiangyu Dredging Holdings Limited,http://www.xiangyu.com.hk
872,Jinheng Automotive Safety Technology Holdings Limited,http://www.jinhengholdings.com
873,International Taifeng Holdings Limited,http://www.taifeng.cc
874,Guangzhou Pharmaceutical Company Limited,http://www.equitynet.com.hk/0874/
875,Ever Fortune International Holdings Limited,http://www.875.com.hk
876,Wing Lee Holdings Limited,http://www.wingleeholdings.com
877,O-Net Communications (Group) Limited,http://www.o-netcom.com
878,Soundwill Holdings Limited,http://www.soundwill.com.hk
880,SJM Holdings Limited,http://www.sjmholdings.com
881,Zhongsheng Group Holdings Limited,http://www.zs-group.com.cn
882,Tianjin Development Holdings Limited,http://finance.thestandard.com.hk/en/0882tianjindev
883,CNOOC Limited,http://www.cnoocltd.com
885,Forefront Group Limited,http://www.forefront.com.hk
886,Silver Base Group Holdings Limited,http://www.silverbasegroup.com
887,Emperor Watch & Jewellery Limited,http://www.emperorwatchjewellery.com
888,RoadShow Holdings Limited,http://www.roadshow.com.hk
889,Datronix Holdings Limited,http://www.datronixhldgs.com.hk/investors.html
891,Trinity Limited,http://www.trinity-limited.com
893,China Vanadium Titano-Magnetite Mining Company Limited,http://www.chinavtmmining.com
894,Man Yue Technologh Holdings Limited,http://www.manyue.com
895,Dongjiang Environmental Company Limited,http://www.dongjiang.com.cn
896,Hanison Construction Holdings Limited,http://www.hanison.com
897,Wai Yuen Tong Medicine Holdings Limited,http://www.wyth.net
898,Multifield International Holdings Limited,http://www.irasia.com/listco/hk/multifield/index.htm
899,Asia Resources Holdings Limited,http://www.aplushk.com/clients/0899asiaresources
900,Aeon Credit Service (Asia) Company Limited,http://www.aeon.com.hk
901,Radford Capital Investment Limited,http://radfordcap.etnet.com.hk 
902,"Huaneng Power International, Inc.",http://www.hpi-ir.com.hk
903,TPV Technology Limited,http://www.tpv-tech.com
904,China Green (Holdings) Limited,http://www.chinagreen.com.hk
905,Mastermind Capital Limited,http://www.mastermindcapitalhk.com
906,CPMC Holdings Limited,http://www.cofco-pack.com
907,Elegance International Holdings Limited,http://www.elegance-group.com
908,Jiuzhou Development Company Limited,http://www.0908.hk
909,Zhongda International Holdings Limited,http://www.finance.thestandard.com.hk/en/0909zhongda
910,China Grand Forestry Resources Group Limited,http://www.capitalfp.com.hk/eng/index.jsp?co=910
912,Suga International Holdings Limited,http://www.suga.com.hk
913,Unity Investments Holdings Limited,http://www.unity913.com
914,Anhui Conch Cement Company Limited,http://www.conch.cn
915,Linmark Group Limited,http://www.linmark.com
916,China Longyuan Power Group Corporation Limited,http://www.clypg.com.cn
917,New World China Land Limited,http://www.nwcl.com.hk
918,Takson Holdings Limited,http://www.takson.com
919,Modern Beauty Salon Holdings Limited,http://www.modernbeautysalon.com
921,Hisense Kelon Electrical Holdings Company Limited,http://www.kelon.com
922,China Boon Holdings Limited,http://www.china-boon.com
923,Fook Woo Group Holdings Limited,http://www.fookwoo.com
925,Beijing Properties (Holdings) Limited,http://www.bphl.com.hk
926,Besunyen Holdings Company Limited,http://www.besunyen.com
927,Fujikon Industrial Holdings Limited,http://www.fujikon.com
928,Tack Fat Group International Limited,http://www.tackfatgroup.com 
929,IPE Group Limited,http://www.ipegroup.com
930,"China Forestry Holdings Co., Ltd.",http://www.chinaforestryholding.com
931,Artel Solutions Group Holdings Limited,http://artelgroup.todayir.com
933,Brightoil Petroleum (Holdings) Limited,http://www.brightoil.com.hk
934,Sinopec Kantons Holdings Limited,http://www.sinopec.com.hk
935,Dragon Crown Group Holdings Limited,http://www.dragoncrown.com
936,Manta Holdings Company Limited,http://www.mantagroup.com.hk
938,Man Sang International Limited,http://www.man-sang.com
939,China Construction Bank Corporation,http://www.ccb.com
940,China Animal Healthcare Ltd.,http://www.chinanimalhealthcare.com
941,China Mobile Limited,http://www.chinamobileltd.com
943,Eforce Holdings Limited,http://www.todayir.com/listco/hk/eforce
945,Manulife Financial Corporation,http://www.manulife.com
946,Hontex International Holdings Company Limited,http://ir.hontex.cn
947,"MOBI Development Co., Ltd.",http://www.mobi-antenna.com
948,Z-Obee Holdings Limited,http://www.z-obee.com
950,Lee's Pharmaceutical Holdings Limited,http://www.leespharm.com
951,Chaowei Power Holdings Limited,http://www.chaowei.com.hk
952,Quam Limited,http://www.quamlimited.com
953,Meike International Holdings Limited,http://www.meike.cn
955,Schramm Holding AG,http://www.schramm-holding.com
956,China Suntien Green Energy Corporation Limited,http://www.suntien.com
958,Huaneng Renewables Corporation Limited,http://www.hnr.com.cn
959,Amax Holdings Limited,http://www.amaxhldg.com
960,Longfor Properties Co. Ltd.,http://www.longfor.com.cn
963,Bloomage BioTechnology Corporation Limited,http://www.bloomagebio-tech.com
966,China Taiping Insurance Holdings Co. Ltd.,http://www.ctih.cntaiping.com 
967,Sound Global Ltd,http://www.soundglobal.com.sg
968,Little Sheep Group Limited,http://www.LittleSheep.com
969,Hua Lien International (Holdings) Company Limited,http://finance.thestandard.com.hk/en/0969hualien
970,Sparkle Roll Group Limited,http://www.hk970.com
973,L'Occitane International S.A.,http://www.loccitane.com
975,Mongolian Mining Corporation,http://www.mmc.mn
976,Chiho-Tiande Group Limited,http://www.chiho-tiande.com
978,Tonic Industries Holdings Limited,http://www.tonic.com.hk
979,Green Energy Group Limited,http://www.greenenergy.hk
980,"Lianhua Supermarket Holdings Co., Ltd.",http://www.lhok.com.cn
981,Semiconductor Manufacturing International Corporation,http://www.smics.com/
982,iOne Holdings Limited,http://www.ioneholdings.com
983,Shui On Construction and Materials Limited,http://www.socam.com
984,"Aeon Stores (Hong Kong) Co., Limited",http://www.jusco.com.hk
985,CST Mining Group Limited,http://www.cstmining.com
986,China Environmental Energy Investment Limited,http://www.986.com.hk
987,China Renewable Energy Investment Limited,http://www.cre987.com
988,Loudong General Nice Resources (China) Holdings Limited,http://www.generalnice.com.hk
989,China Motion Telecom International Limited,http://www.chinamotion.com
990,Theme International Holdings Limited,http://www.990.com.hk
991,"Datang International Power Generation Co., Ltd.",http://www.dtpower.com
992,Lenovo Group Limited,http://www.lenovo.com/hk/publication/
993,Simsen International Corporation Limited,http://www.simsen.com
995,Anhui Expressway Company Limited,http://www.anhui-expressway.cn
996,Oriental Ginza Holdings Limited,http://www.orientalginza.com
997,Decca Holdings Limited,http://www.decca.com.hk
998,China CITIC Bank Corporation Limited,http://bank.ecitic.com
999,I.T Limited,http://www.ithk.com
1000,Beijing Media Corporation Limited,http://www.bjmedia.com.cn
1001,Van Shung Chong Holdings Limited,http://www.vschk.com
1002,V.S. International Group Limited,http://www.vs138.com
1003,21 Holdings Limited,http://www.irasia.com/listco/hk/21holdings/index.htm
1004,Rising Development Holdings Limited,http://www.hkrising.com
1005,Matrix Holdings Limited,http://www.irasia.com/listco/hk/matrix/index.htm
1006,China Corn Oil Company Ltd.,http://www.chinacornoil.com
1007,Global Dairy Holdings Limited,http://www.global-dairy.com.cn
1008,Brilliant Circle Holdings International Limited,http://www.bcghk.cn
1009,International Entertainment Corporation,http://www.ientcorp.com
1010,PacMos Technologies Holdings Limited,http://pacmos.etnet.com.hk
1011,China NT Pharma Group Company Limited,http://www.ntpharma.com
1013,Wai Chun Group Holdings Limited,http://www.1013.hk
1019,Convoy Financial Services Holdings Limited,http://www.convoy.com.hk
1020,Sinoref Holdings Limited,http://www.sinoref.com.hk
1021,Midas Holdings Limited,http://www.midas.com.sg
1025,"Wumart Stores, Inc.",http://www.wumart.com
1026,Universal Technologies Holdings Limited,http://www.uth.com.hk
1029,IRC Limited,http://www.ircgroup.com.hk
1031,Kingston Financial Group Limited,http://www.kingston.com.hk
1033,Sinopec Yizheng Chemical Fibre Company Limited,http://www.ycfc.com
1036,Winsor Properties Holdings Limited,http://www.winsorprop.com
1037,Daiwa Associate Holdings Limited,http://www.daiwahk.com/news.phtml
1038,Cheung Kong Infrastructure Holdings Limited,http://www.cki.com.hk
1039,Changfeng Axle (China) Company Limited,http://www.changfengaxle.com.hk
1041,Fulbond Holdings Limited,http://www.fulbond.com
1043,Coslight Technology International Group Limited,http://www.irasia.com/listco/hk/coslight/
1044,Hengan International Group Company Limited,http://www.hengan.com
1045,APT Satellite Holdings Limited,http://www.apstar.com
1046,Universe International Holdings Limited,http://www.uih.com.hk
1047,Ngai Hing Hong Company Limited,http://www.nhh.com.hk
1048,Novo Group Ltd.,http://www.novogroupltd.com
1049,Celestial Asia Securities Holdings Limited,http://www.cash.com.hk
1050,Karrie International Holdings Limited,http://www.karrie.com.hk
1051,G-Resources Group Ltd,http://www.g-resources.com
1052,GZI Transport Limited,http://www.irasia.com/listco/hk/gzitransport/index.htm 
1053,Chongqing Iron & Steel Company Limited,http://www.cqgt.cn
1055,China Southern Airlines Company Limited,http://www.cs-air.com
1057,Zhejiang Shibao Company Limited,http://www.zjshibao.com
1058,Guangdong Tannery Limited,http://www.gdtann.com.hk
1059,Kantone Holdings Limited,http://www.kantone.com
1060,China Vision Media Group Limited,http://www.irasia.com/listco/hk/chinavision/index.htm
1061,Essex Bio-Technology Limited,http://www.essexbio.com 
1062,New Capital International Investment Limited,http://www.newcapital.com.hk
1063,SunCorp Technologies Limited,http://suncorp.quamir.com
1064,Zhong Hua International Holdings Limited,http://www.zhonghuagroup.com
1065,Tianjin Capital Environmental Protection Company Limited,http://www.ifn.com.hk/ir/tjcep
1066,Shandong Weigao Group Medical Polymer Company Limited,http://www.weigaogroup.com
1068,China Yurun Food Group Limited,http://www.yurun.com.hk
1069,Jiangchen International Holdings Limited,http://www.jcholding.hk
1070,TCL Multimedia Technology Holdings Limited,http://www.tclhk.com
1071,Huadian Power International Corporation Limited,http://www.hdpi.com.cn
1072,Dongfang Electric Corporation Limited,http://dfem.wsfg.hk
1073,China Agrotech Holdings Limited,http://www.irasia.com/listco/hk/chinaagrotech/index.htm
1075,CapInfo Company Limited,http://www.capinfo.com.cn
1076,First Natural Foods Holdings Limited,http://www.equitynet.com.hk/1076/
1079,PINE Technology Holdings Limited,http://www.pinegroup.com
1080,Shengli Oil & Gas Pipe Holdings Ltd.,http://www.slogp.com
1082,Modern Education Group Limited,http://www.moderneducationgroup.com
1083,Towngas China Company Limited,http://www.towngaschina.com
1085,Hengxin Technology Ltd.,http://www.hengxin.com.sg
1086,Goodbaby International Holdings Limited,http://www.gbinternational.com.hk
1087,HL Technology Group Limited,http://www.hong-lin.com.cn
1088,China Shenhua Energy Company Limited,http://www.csec.com
1089,Sumpo Food Holdings Limited,http://www.sumpofood.com
1090,Da Ming International Holdings Limited,http://www.dmssc.net
1091,CITIC Dameng Holdings Limited,http://www.dameng.citic.com
1093,China Pharmaceutical Group Limited,http://www.irasia.com/listco/hk/cpg
1094,China Public Procurement Ltd,http://www.cpphk.com
1097,i-Cable Communications Limited,http://www.i-cablecomm.com
1098,Road King Infrastructure Limited,http://www.roadking.com.hk
1099,Sinopharm Group Co. Ltd.,http://www.sinopharmholding.com
1100,Mainland Headwear Holdings Limited,http://www.mainland.com.hk
1101,China Rongsheng Heavy Industries Group Holdings Limited,http://www.rshi.cn 
1102,Enviro Energy International Holdings Limited,http://www.enviro-energy.com.hk
1104,APAC Resources Limited,http://www.irasia.com/listco/hk/apac/index.htm
1105,Sing Tao News Corporation Limited,http://www.singtaonewscorp.com
1106,Sino Haijing Holdings Limited,http://www.sinohaijing.com
1108,Luoyang Glass Company Limited,http://clfg.wsfg.hk
1109,China Resources Land Limited,http://www.crland.com.hk
1110,Kingworld Medicines Group Limited,http://www.kingworld.com.cn
1111,Chong Hing Bank Limited,http://www.chbank.com
1112,Biostime International Holdings Limited,http://www.biostime.com.cn
1114,Brilliance China Automotive Holdings Limited,http://www.brillianceauto.com
1115,Tibet 5100 Water Resources Holdings Ltd.,http://www.5100.net
1116,Mayer Holdings Limited,http://www.mayer.com.hk
1117,China Modern Dairy Holdings Ltd.,http://www.moderndairyir.com
1118,Golik Holdings Limited,http://www.golik.com.hk
1120,Arts Optical International Holdings Limited,http://www.artsgroup.com
1121,Baofeng Modern International Holdings Company Limited,http://www.chinabaofeng.com
1122,Qingling Motors Company Limited,http://www.qingling.com.cn
1123,China-Hongkong Photo Products Holdings Limited,http://www.chinahkphoto.com.hk
1124,Coastal Greenland Limited,http://www.irasia.com/listco/hk/coastal
1125,Lai Fung Holdings Limited,http://www.laisun.com
1126,Dream International Limited,http://www.dream-i.com.hk
1128,Wynn Macau Limited,http://www.wynnmacaulimited.com
1129,China Water Industry Group Limited,http://www.chinawaterind.com
1130,China Environmental Resources Group Limited,http://benefun.etnet.com.hk
1131,Agritrade Resources Limited,http://www.agritraderesources.com
1132,Orange Sky Golden Harvest Entertainment (Holdings) Limited,http://www.irasia.com/listco/hk/goldenharvest/index.htm
1133,Harbin Power Equipment Company Limited,http://www.chpec.com
1135,Asia Satellite Telecommunications Holdings Limited,http://www.asiasat.com
1136,TCC International Holdings Limited,http://www.tcchk.com
1137,City Telecom (H.K.) Limited,http://www.ctigroup.com.hk
1138,China Shipping Development Company Limited,http://www.cnshippingdev.com
1139,Victory Group Limited,http://www.victorygroup.com.hk
1140,OP Financial Investments Limited,http://www.opfin.com.hk
1141,Beijing Yu Sheng Tang Pharmaceutical Group Limited,http://www.beijingyst.com 
1142,Siberian Mining Group Company Limited,http://www.ilinkfin.net/siberian_mining
1143,Telefield International (Holdings) Limited,http://www.telefieldgroup.com.hk
1145,Courage Marine Group Limited,http://www.couragemarine.com
1149,Anxin-China Holdings Limited,http://www.anxin-china.com.hk
1150,Milan Station Holdings Limited,http://www.milanstation.com.hk
1155,Centron Telecom International Holding Ltd,http://www.centron.com.hk
1157,"Changsha Zoomlion Heavy Industry Science & Technology Development Co., Ltd.",http://www.zoomlion.com
1159,Karce International Holdings Company Limited,http://www.aplushk.com/clients/1159
1160,Grand Investment International Ltd.,http://www.grandinv.com
1161,Water Oasis Group Limited,http://www.wateroasis.com.hk
1163,Dejin Resources Group Company Limited,http://www.dejinresources.com
1164,Vital Pharmaceutical Holdings Limited,http://www.vital-pharm.com
1166,Solartech International Holdings Limited,http://www.1166hk.com
1168,Sinolink Worldwide Holdings Limited,http://www.sinolinkhk.com
1169,"Haier Electronics Group Co., Ltd.",http://www.haier-elec.com.hk
1170,Kingmaker Footwear Holdings Limited,http://www.irasia.com/listco/hk/kingmaker
1171,Yanzhou Coal Mining Company Limited,http://www.yanzhoucoal.com.cn
1172,Midas International Holdings Limited,http://www.midasprinting.com
1173,Veeko International Holdings Limited,http://irasia.com/listco/hk/veeko/index.htm
1174,Pacific Andes International Holdings Limited,http://www.pacificandes.com
1175,FU JI Food and Catering Services Holdings Limited,http://www.fujicatering.com
1176,Zhuguang Holdings Group Company Limited,http://www.zhuguang.com.hk
1177,Sino Biopharmaceutical Limited,http://www.sinobiopharm.com
1178,Vitop Bioenergy Holdings Limited,http://www.ilinkfin.net/vitop/
1180,Paradise Entertainment Limited,http://www.hk1180.com
1181,Tang Palace (China) Holdings Limited,http://www.tanggong.cn
1182,C Y Foundation Group Limited,http://www.cyfoundation.com
1184,S.A.S. Dragon Holdings Limited,http://www.sasdragon.com.hk
1185,China Energine International (Holdings) Limited,http://www.energine.hk
1186,China Railway Construction Corporation Limited,http://www.crcc.cn
1187,Pearl River Tyre (Holdings) Limited,http://www.pearlrivertyres1187.com
1188,Hybrid Kinetic Group Limited,http://hk1188.etnet.com.hk
1189,Rosedale Hotel Holdings Limited,http://www.rhh.com.hk
1191,Yueshou Environmental Holdings Limited,http://www.yueshou.hk
1192,Titan Petrochemicals Group Limited,http://www.petrotitan.com
1193,China Resources Gas Group Limited,http://www.crgas.com.hk 
1194,"China Precious Metal Resources Holdings Co., Limited",http://cpm.etnet.com.hk
1195,Kingwell Group Limited,http://kingwell.todayir.com
1196,Cheong Ming Investments Limited,http://www.cheongming.com/eng/listco_fin_info.htm
1198,Royale Furniture Holdings Limited,http://www.royale.todayir.com
1199,COSCO Pacific Limited,http://www.coscopac.com.hk
1200,Midland Holdings Limited,http://www.midland.com.hk
1201,Kith Holdings Limited,http://www.kithholdings.com
1202,Chengdu Putian Telecommunications Cable Company Limited,http://putian.wsfg.hk
1203,Guangnan (Holdings) Limited,http://www.gdguangnan.com
1205,CITIC Resources Holdings Limited,http://www.irasia.com/listco/hk/citicresources
1207,SRE Group Limited,http://www.sre.com.cn
1208,Minmetals Resources Limited,http://www.minmetalsresources.com
1211,BYD Company Limited,http://www.byd.com.cn
1212,Lifestyle International Holdings Limited,http://www.lifestylehk.com.hk
1213,Mobicon Group Limited,http://www.mobicon.com
1215,Kai Yuan Holdings Limited,http://www.kaiyuanholdings.com
1217,China Innovation Investment Limited,http://www.1217.com.hk
1218,Easyknit International Holdings Limited,http://www.easyknit.com
1220,Ocean Grand Holdings Limited,http://www.ogh-1220.info
1221,Sino Hotels (Holdings) Limited,http://www.sino.com
1222,Wang On Group Limited,http://www.wangon.com/
1223,Symphony Holdings Limited,http://www.symphonyholdings.com
1224,C C Land Holdings Limited,http://www.ccland.com.hk
1225,Lerado Group (Holding) Company Limited,http://www.irasia.com/listco/hk/lerado/index.htm
1226,Garron International Limited,http://www.garroninternational.com
1227,National Investments Fund Limited,http://www.nif-hk.com 
1228,Superb Summit International Timber Company Limited,http://www.ssitimber.com.hk 
1229,International Resources Enterprise Limited,http://www.inren.com.hk
1230,Yashili International Holdings Ltd.,http://www.yashili.hk
1231,Newton Resources Ltd,http://www.newton-resources.com
1234,China Lilang Limited,http://www.lilanz.com
1238,Powerlong Real Estate Holdings Limited,http://www.powerlong.com
1241,Shuanghua Holdings Limited,http://www.shshuanghua.com
1278,China New Town Development Company Limited,http://www.china-newtown.com
1280,"Huiyin Household Appliances (Holdings) Co., Ltd.",http://www.www.hyjd.com
1282,World Wide Touch Technology (Holdings) Limited,http://www.wwtt.hk
1288,Agricultural Bank of China Limited,http://www.abchina.com
1299,AIA Group Limtied,http://www.aia.com
1308,SITC International Holdings Company Limited,http://www.sitc.com
